sku,name,brand,category,price,list_price,available,image_url,product_url,store,description,scraped_at
3835351,Pastel Selecto Brand sabor Chocolate 800g,Selecto Brand,congelados,240.0,240.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58061210/7501253686483_00.jpg?v=638980754417730000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/pastel-selecto-brand-sabor-chocolate-800g-3835351/p,Chedraui,"Pastel Selecto Brand sabor Chocolate 800g
<lt/>div<gt/><lt/>br<gt/><lt/>b<gt/>Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.<lt/>/b<gt/><lt/>/div<gt/>",2025-11-18T16:18:51.257283
3835350,Pay de Queso con galleta sabor Chocolate Selecto Brand 750g,Selecto Brand,congelados,225.0,225.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57849062/7501253686490_00.jpg?v=638979577525300000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/pay-de-queso-con-galleta-sabor-chocolate-selecto-brand-750g-3835350/p,Chedraui,"Pay de Queso con galleta sabor Chocolate Selecto Brand 750g
<lt/>div<gt/><lt/>br<gt/><lt/>b<gt/>Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.<lt/>/b<gt/><lt/>/div<gt/>",2025-11-18T16:18:51.257285
3798774,Paleta Nestlé Mix Chocolate 6 Piezas 318g,Nestlé,congelados,135.0,135.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57780795/7506390202589_00.jpg?v=638979122810830000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-nestle-mix-chocolate-6-piezas-318g-3798774/p,Chedraui,"Paleta Nestlé Mix Chocolate 6 Piezas.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257287
3785605,Paleta Holanda Moonligth 90ml,Holanda,congelados,120.0,120.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58050807/7506306417526_00.jpg?v=638980719623670000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-holanda-moonligth-90ml-3785605/p,Chedraui,"Paleta de grasa vegetal sabor palomitas y caramelo, cubierta de chocolate con leche y trozos de palomitas acarameladas, con 3 piezas.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257289
3764027,Pay Queso con Zarzamora Selecto 850g,Selecto Brand,congelados,225.0,225.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57764566/7501253676736_00.jpg?v=638979084664730000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/pay-queso-con-zarzamora-selecto-850g-3764027/p,Chedraui,"Pay Queso con Zarzamora Selecto.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257292
3764026,Pay Limón Congelado Selecto 750g,Selecto Brand,congelados,210.0,210.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57764564/7501253676729_00.jpg?v=638979084658170000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/pay-limon-congelado-selecto-750g-3764026/p,Chedraui,"Pay Limón Congelado Selecto.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257294
3722712,Mochi Bubbies Fruta de la Pasión 210g,Bubbies Mochi,congelados,169.0,169.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57750562/787325200932_00.jpg?v=638979050472570000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/mochi-bubbies-fruta-de-la-pasion-210g-3722712/p,Chedraui,"Mochi Bubbies Fruta de la Pasión 210g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257296
3722711,Mochi Bubbies Mango 210g,Bubbies Mochi,congelados,169.0,169.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57750584/787325200635_00.jpg?v=638979050550830000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/mochi-bubbies-mango-210g-3722711/p,Chedraui,"Mochi Bubbies Mango 210g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257298
3722710,Mochi Bubbies Fresa 210g,Bubbies Mochi,congelados,169.0,169.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57750587/787325200734_00.jpg?v=638979050557700000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/mochi-bubbies-fresa-210g-3722710/p,Chedraui,"Mochi Bubbies Fresa 210g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257301
3705425,Granos de Elote Vima Congelados 450g,Vima,congelados,49.0,49.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57672582/8436017439083_00.jpg?v=638978853498670000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/granos-de-elote-vima-congelados-450g-3705425/p,Chedraui,"Granos de Elote Dulce Congelados 450g.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257303
